17/03/27 00:17:13 INFO  - user01@naver.com님이 logout.k 요청
17/03/27 00:17:16 INFO  - org.apache.tomcat.websocket.WsSession@3e9d011b나가기
17/03/27 00:17:22 INFO  - admin님이 alink.do 요청
17/03/27 00:17:22 INFO  - org.apache.tomcat.websocket.WsSession@549dd36b접속
17/03/27 00:17:23 INFO  - admin님이 selectFriendList.n 요청
17/03/27 00:17:35 INFO  - org.apache.tomcat.websocket.WsSession@549dd36b나가기
17/03/27 00:17:35 INFO  - admin님이 alink.do 요청
17/03/27 00:17:35 INFO  - org.apache.tomcat.websocket.WsSession@2ce19a58접속
17/03/27 00:17:35 INFO  - admin님이 selectFriendList.n 요청
17/03/27 00:20:39 INFO  - org.apache.tomcat.websocket.WsSession@2ce19a58나가기
17/03/27 00:20:39 INFO  - org.apache.tomcat.websocket.WsSession@523d118f접속
17/03/27 00:22:15 INFO  - org.apache.tomcat.websocket.WsSession@523d118f나가기
17/03/27 00:24:38 INFO  - org.apache.tomcat.websocket.WsSession@3023f5e1접속
17/03/27 00:24:42 INFO  - org.apache.tomcat.websocket.WsSession@3023f5e1나가기
17/03/27 00:26:02 INFO  - admin님이 alink.do 요청
17/03/27 00:26:02 INFO  - org.apache.tomcat.websocket.WsSession@157af3e9접속
17/03/27 00:26:04 INFO  - org.apache.tomcat.websocket.WsSession@157af3e9나가기
17/03/27 00:26:13 INFO  - admin님이 alink.do 요청
17/03/27 00:26:13 INFO  - org.apache.tomcat.websocket.WsSession@6ba26629접속
17/03/27 00:26:13 INFO  - admin님이 selectFriendList.n 요청
17/03/27 00:27:29 INFO  - org.apache.tomcat.websocket.WsSession@6ba26629나가기
17/03/27 00:28:52 INFO  - admin님이 selectFriendList.n 요청
17/03/27 00:38:36 INFO  - user01@naver.com님이 newsfeed.b 요청
17/03/27 00:38:36 INFO  - org.apache.tomcat.websocket.WsSession@210db3a5접속
17/03/27 00:38:36 INFO  - user01@naver.com님이 selectFriendList.n 요청
17/03/27 00:38:39 INFO  - user01@naver.com님이 mypage.b 요청
17/03/27 00:38:41 INFO  - user01@naver.com님이 selectFriendList.n 요청
17/03/27 00:38:59 INFO  - user01@naver.com님이 download.p 요청
17/03/27 00:39:39 INFO  - user01@naver.com님이 selectMypageCommentList.b 요청
17/03/27 00:39:40 INFO  - user01@naver.com님이 insertMypageComment.b 요청
17/03/27 00:39:41 INFO  - user01@naver.com님이 selectMypageCommentList.b 요청
17/03/27 00:39:42 INFO  - user01@naver.com님이 selectMypageCommentList.b 요청
17/03/27 00:39:44 INFO  - user01@naver.com님이 insertMypageComment.b 요청
17/03/27 00:39:50 INFO  - user01@naver.com님이 friendList.n 요청
17/03/27 00:39:51 INFO  - user01@naver.com님이 selectFriendList.n 요청
17/03/27 00:39:57 INFO  - org.apache.tomcat.websocket.WsSession@210db3a5나가기
17/03/27 00:39:57 INFO  - user01@naver.com님이 newsfeed.b 요청
17/03/27 00:39:57 INFO  - org.apache.tomcat.websocket.WsSession@575b5ea8접속
17/03/27 00:39:57 INFO  - user01@naver.com님이 selectFriendList.n 요청
17/03/27 00:40:02 INFO  - user01@naver.com님이 selectMypageCommentList.b 요청
17/03/27 00:40:03 INFO  - user01@naver.com님이 selectMypageCommentList.b 요청
17/03/27 00:40:05 INFO  - user01@naver.com님이 selectMypageCommentList.b 요청
17/03/27 00:40:06 INFO  - user01@naver.com님이 selectMypageCommentList.b 요청
17/03/27 00:47:20 INFO  - user01@naver.com님이 alertlistajaxtop.j 요청
17/03/27 00:47:21 INFO  - user01@naver.com님이 logout.k 요청
